Vx, Vy, Vz
   -0.8510419829100552,    0.5238860024014725,   -0.0356510843078522
    0.9409436874316777,    0.3120479228020921,    0.1313433323674127
   -0.8214422296219575,    0.5090730187969338,   -0.2570551009544138
    0.3103012723099193,   -0.9494724542848959,    0.0470656876828715
   -0.4567405943813910,    0.8877225458841241,    0.0577642707315058
   -0.2119562059012991,   -0.9772592685221653,    0.0062360939255847
   -0.9917416345920271,   -0.0967622553357088,   -0.0841759832676823
   -0.2497290951305399,    0.9682619179827689,   -0.0102096635405592
    0.7408934784434985,   -0.6669702661015289,    0.0789146230831069
    0.8422452279803730,    0.2800095027386678,   -0.4606708741827873
    0.0805630032957647,    0.9965590775501159,    0.0194835174552379
    0.5477193313097837,    0.8271601705325037,    0.1257361777461156
    0.6699126882576740,    0.5254557003499444,   -0.5245124374894516
   -0.6800245846471840,   -0.7316035123147663,   -0.0481961102592569
    0.1141669506064408,    0.9908936920307037,    0.0713834608504474
   -0.8562535301419020,    0.4190633358317344,   -0.3020195567858313
    0.9437791990855710,   -0.3029343948019776,    0.1323313108049562
   -0.7779634977539183,   -0.6238646053043287,   -0.0746039570730894
    0.6117702590998879,   -0.7872269603053313,    0.0775297558959405
    0.0762027097111923,   -0.9966485313150146,    0.0297464629879934
   -0.9557070250965002,   -0.2942589187099710,    0.0059808812759008
   -0.3707288515249500,   -0.9276088576909548,   -0.0458467641199856
   -0.5920003231712679,    0.7828789040452787,   -0.1914059533190588
   -0.9573323841877399,    0.2881286605320682,   -0.0222841011803007
   -0.5622467380803405,    0.8264660482925290,    0.0288526695081788
   -0.2852868614459191,    0.9583348862753132,   -0.0143405869482194
   -0.4483496953758755,   -0.8937363649354534,   -0.0147601032625721
   -0.8490297711223825,   -0.5203786448070984,   -0.0914030293622838
   -0.9970311665137194,    0.0034109047549736,   -0.0769234601993726
   -0.8914206028320487,    0.4531550590154098,   -0.0044498691314901
   -0.4533633023634405,    0.8913161051450295,    0.0041613434381738
    0.9499693875183585,   -0.2748743559516672,    0.1483315584026240
    0.8022332944636300,    0.5574921459126030,   -0.2135983344967647
    0.9420351011314245,    0.2816883511160439,    0.1822677730204411
    0.3797171110733089,    0.9115599447418344,   -0.1577129756881284
    0.6221397202278052,    0.7562851743734926,    0.2024225865305655
    0.1653053696017279,    0.9848592935468659,    0.0522140469146439
    0.0398738373136049,   -0.4552807283454953,    0.8894546281261814
    0.1437384148807322,   -0.4082272467750436,    0.9014930854299672
    0.6138623463393449,    0.7870832479626464,    0.0606051196131593
    0.9151135716128537,    0.3916334002782477,    0.0958667347752307
    0.9694686615205882,   -0.2287499158514978,    0.0883401965552032
    0.7547653310169599,   -0.6535733266903799,    0.0563134240987812
    0.4197985469097938,   -0.9073607208503635,    0.0215801360128850
    0.5155932272293202,   -0.8544764021907895,    0.0635114330993930
