ID,X,Y,Z
68,-5.792,7.346,-0.286
69,-5.782,7.3395,-0.0795
253,-5.925,7.264,-0.08
66,-5.937,7.229,1.182
251,-5.584,7.26,1.181
252,-5.639,7.415,-0.079
253,-5.925,7.264,-0.08
