ID,X,Y,Z
261,4.199,3.255,2.134
255,4.714,3.249,2.125
233,4.705,3.374,1.969
260,4.191,3.383,1.977
232,4.187,3.489,1.777
231,4.7,3.487,1.771
256,4.696,3.594,1.58
263,4.177,3.595,1.591
264,4.172,3.699,1.397
257,4.687,3.71,1.386
258,4.686,3.81,1.19
265,4.166,3.806,1.197
266,4.165,3.911,1.002
259,4.678,3.921,0.994
267,4.696,3.926,0.792
27,4.152,4.035,0.803
262,4.201,3.13,2.291
12,4.729,3.108,2.287
267,4.696,3.926,0.792
