ID,X,Y,Z
36,11.234,1.629,3.688
238,11.337,2.348,2.09
237,11.526,1.786,0.242
238,11.337,2.348,2.09
39,10.834,2.947,0.218
238,11.337,2.348,2.09
38,12.16,2.979,0.366
