ID,X,Y,Z
270,4.537,2.432,1.248
72,4.464,3.058,2.627
73,4.401,4.467,0
271,6.846,0,0.978
18,7.479,0.122,2.6
71,8.946,0,0
268,2.41,0,1.065
20,1.526,-0.001,2.613
70,0,0,0
269,4.262,-2.046,1.139
44,4.563,-2.895,2.598
77,4.262,-4.316,-0.1
3000,4.401,4.467,0
3001,8.946,0,0
3002,0,0,0
3003,4.262,-4.316,-0.1
